block,regime,drift,arm,n,gain,lo,hi,collisions,no_probe_commits,vs_naive,vn_lo,vn_hi,commits,labels,triggers
causal64,portscan,full,none,30,8.847,6.461,11.326,0.0,0.0,,,,,,
causal64,portscan,full,lp32,30,9.409,7.162,11.775,0.0,0.0,0.562,-0.086,1.515,,,
causal64,portscan,full,strict,30,9.483,7.316,11.786,0.0,0.0,0.636,-0.062,1.601,,,
causal64,portscan,mild,none,30,-0.843,-1.601,-0.072,0.0,0.0,,,,,,
causal64,portscan,mild,lp32,30,-0.237,-0.971,0.499,0.0,0.0,0.606,0.28,0.951,,,
causal64,portscan,mild,strict,30,0.024,-0.66,0.721,0.0,0.0,0.867,0.424,1.328,,,
vbc_sg,portscan,zero,,30,0.0,0.0,0.0,,,,,,0.0,502.4,
vbc_sg,portscan,full,,30,0.0,0.0,0.0,,,,,,0.0,1063.5,
exact_strat,portscan,zero,,30,0.0,0.0,0.0,,,,,,0.0,114.1,
exact_strat,portscan,full,,30,0.0,0.0,0.0,,,,,,0.0,241.1,
prev_sweep,portscan,pi0.01,none,30,0.665,0.034,1.562,,,,,,,,0.17
prev_sweep,portscan,pi0.01,lp32,30,0.133,0.023,0.273,,,,,,,,0.23
prev_sweep,portscan,pi0.10,none,30,4.76,3.389,6.188,,,,,,,,0.83
prev_sweep,portscan,pi0.10,lp32,30,3.977,2.667,5.32,,,,,,,,1.0
prev_sweep,portscan,pi0.05lat20,none,30,0.927,0.3,1.686,,,,,,,,0.4
prev_sweep,portscan,pi0.05lat20,lp32,30,0.68,0.149,1.342,,,,,,,,0.4
causal64,unsw_recon,full,none,30,-1.69,-2.049,-1.362,0.0,0.0,,,,,,
causal64,unsw_recon,full,lp32,30,-1.18,-1.443,-0.904,0.0,0.0,0.509,0.184,0.874,,,
causal64,unsw_recon,full,strict,30,-1.053,-1.382,-0.706,0.0,0.0,0.636,0.232,1.108,,,
causal64,unsw_recon,mild,none,30,-0.781,-0.995,-0.559,0.0,0.0,,,,,,
causal64,unsw_recon,mild,lp32,30,-0.253,-0.41,-0.086,0.0,0.0,0.529,0.298,0.756,,,
causal64,unsw_recon,mild,strict,30,-0.233,-0.38,-0.078,0.0,0.0,0.548,0.324,0.763,,,
vbc_sg,unsw_recon,zero,,30,0.0,0.0,0.0,,,,,,0.0,504.0,
vbc_sg,unsw_recon,full,,30,0.0,0.0,0.0,,,,,,0.0,1000.0,
exact_strat,unsw_recon,zero,,30,0.0,0.0,0.0,,,,,,0.0,114.1,
exact_strat,unsw_recon,full,,30,0.0,0.0,0.0,,,,,,0.0,227.2,
prev_sweep,unsw_recon,pi0.01,none,30,0.782,0.406,1.134,,,,,,,,2.0
prev_sweep,unsw_recon,pi0.01,lp32,30,0.892,0.611,1.158,,,,,,,,2.33
prev_sweep,unsw_recon,pi0.10,none,30,1.089,0.868,1.297,,,,,,,,2.1
prev_sweep,unsw_recon,pi0.10,lp32,30,1.262,1.113,1.418,,,,,,,,2.47
prev_sweep,unsw_recon,pi0.05lat20,none,30,-0.022,-0.311,0.266,,,,,,,,1.87
prev_sweep,unsw_recon,pi0.05lat20,lp32,30,0.37,0.117,0.615,,,,,,,,2.4
causal64,ton_scanning,full,none,30,-2.851,-5.293,-0.742,0.0,0.0,,,,,,
causal64,ton_scanning,full,lp32,30,1.203,0.851,1.573,0.0,0.0,4.054,2.012,6.505,,,
causal64,ton_scanning,full,strict,30,1.013,0.671,1.401,0.0,0.0,3.864,1.842,6.259,,,
causal64,ton_scanning,mild,none,30,-4.748,-8.796,-1.486,0.0,0.0,,,,,,
causal64,ton_scanning,mild,lp32,30,0.079,-0.183,0.301,0.0,0.0,4.828,1.586,8.81,,,
causal64,ton_scanning,mild,strict,30,0.029,-0.205,0.214,0.0,0.0,4.778,1.511,8.811,,,
vbc_sg,ton_scanning,zero,,30,0.0,0.0,0.0,,,,,,0.0,488.5,
vbc_sg,ton_scanning,full,,30,0.0,0.0,0.0,,,,,,0.0,980.8,
exact_strat,ton_scanning,zero,,30,0.0,0.0,0.0,,,,,,0.0,114.1,
exact_strat,ton_scanning,full,,30,0.0,0.0,0.0,,,,,,0.0,222.9,
prev_sweep,ton_scanning,pi0.01,none,30,0.001,0.0,0.003,,,,,,,,0.03
prev_sweep,ton_scanning,pi0.01,lp32,30,0.0,0.0,0.0,,,,,,,,0.03
prev_sweep,ton_scanning,pi0.10,none,30,-0.039,-0.202,0.074,,,,,,,,0.23
prev_sweep,ton_scanning,pi0.10,lp32,30,0.035,-0.005,0.091,,,,,,,,0.3
prev_sweep,ton_scanning,pi0.05lat20,none,30,0.0,0.0,0.0,,,,,,,,0.03
prev_sweep,ton_scanning,pi0.05lat20,lp32,30,0.0,0.0,0.0,,,,,,,,0.03
