dataset,model,condition,analysis,n_seeds,margin,mean_gap,ci90_lo,ci90_hi,equivalent,boot_frac_below_neg_margin,boot_frac_above_pos_margin,bootstrap_seed,primary
unsw_recon,svc_rbf,independent,primary_confirmatory,100,2.0,0.004,-0.052,0.062,True,0.0,0.0,185052467,False
unsw_recon,svc_rbf,independent,secondary_pilot_plus_confirmatory,100,0.5,0.004,-0.052,0.061,True,0.0,0.0,3350654293,False
unsw_recon,svc_rbf,independent,secondary_pilot_plus_confirmatory,100,1.0,0.004,-0.052,0.062,True,0.0,0.0,1999714358,False
unsw_recon,svc_rbf,independent,secondary_pilot_plus_confirmatory,100,2.0,0.004,-0.052,0.061,True,0.0,0.0,3458756841,False
unsw_recon,svc_rbf,own_transformer,primary_confirmatory,100,0.5,0.052,-0.002,0.106,True,0.0,0.0,966668570,False
unsw_recon,svc_rbf,own_transformer,primary_confirmatory,100,1.0,0.052,-0.003,0.107,True,0.0,0.0,2418693985,True
unsw_recon,svc_rbf,own_transformer,primary_confirmatory,100,2.0,0.052,-0.002,0.107,True,0.0,0.0,2374363992,False
unsw_recon,svc_rbf,own_transformer,secondary_pilot_plus_confirmatory,100,0.5,0.052,-0.003,0.106,True,0.0,0.0,3977564899,False
unsw_recon,svc_rbf,own_transformer,secondary_pilot_plus_confirmatory,100,1.0,0.052,-0.003,0.107,True,0.0,0.0,2373219168,False
unsw_recon,svc_rbf,own_transformer,secondary_pilot_plus_confirmatory,100,2.0,0.052,-0.004,0.106,True,0.0,0.0,2505606572,False
