dataset,model,condition,seed,n_per_block,inc_is_m1,ba_incumbent,ba_challenger,gap_rand,gap_m2_minus_m1
portscan,svc_rbf,own_transformer,2034,2000,False,98.025,98.1,0.075,-0.075
portscan,svc_rbf,independent,2035,2000,False,50.0,97.2,47.2,-47.2
portscan,svc_rbf,own_transformer,2035,2000,False,95.075,97.525,2.45,-2.45
portscan,svc_rbf,independent,2036,2000,True,97.2,97.375,0.175,0.175
portscan,svc_rbf,own_transformer,2036,2000,True,97.475,97.4,-0.075,-0.075
portscan,svc_rbf,independent,2037,2000,True,97.625,50.0,-47.625,-47.625
portscan,svc_rbf,own_transformer,2037,2000,True,97.65,97.15,-0.5,-0.5
portscan,svc_rbf,independent,2038,2000,True,97.5,97.125,-0.375,-0.375
portscan,svc_rbf,own_transformer,2038,2000,True,97.625,97.625,0.0,0.0
portscan,svc_rbf,independent,2039,2000,False,97.625,97.575,-0.05,0.05
portscan,svc_rbf,own_transformer,2039,2000,False,97.775,98.025,0.25,-0.25
portscan,svc_rbf,independent,2040,2000,True,94.35,97.9,3.55,3.55
portscan,svc_rbf,own_transformer,2040,2000,True,97.725,97.85,0.125,0.125
portscan,svc_rbf,independent,2041,2000,False,90.3,98.0,7.7,-7.7
portscan,svc_rbf,own_transformer,2041,2000,False,97.475,98.0,0.525,-0.525
portscan,svc_rbf,independent,2042,2000,False,97.4,97.875,0.475,-0.475
portscan,svc_rbf,own_transformer,2042,2000,False,97.725,97.85,0.125,-0.125
portscan,svc_rbf,independent,2043,2000,False,97.725,97.65,-0.075,0.075
portscan,svc_rbf,own_transformer,2043,2000,False,97.675,97.6,-0.075,0.075
portscan,svc_rbf,independent,2044,2000,True,96.65,97.65,1.0,1.0
portscan,svc_rbf,own_transformer,2044,2000,True,97.55,97.5,-0.05,-0.05
portscan,svc_rbf,independent,2045,2000,False,98.025,50.0,-48.025,48.025
portscan,svc_rbf,own_transformer,2045,2000,False,98.05,95.8,-2.25,2.25
portscan,svc_rbf,independent,2046,2000,True,98.1,97.425,-0.675,-0.675
portscan,svc_rbf,own_transformer,2046,2000,True,98.15,97.925,-0.225,-0.225
portscan,svc_rbf,independent,2047,2000,False,97.2,96.75,-0.45,0.45
portscan,svc_rbf,own_transformer,2047,2000,False,97.125,97.375,0.25,-0.25
portscan,svc_rbf,independent,2048,2000,False,97.525,97.5,-0.025,0.025
portscan,svc_rbf,own_transformer,2048,2000,False,97.375,97.5,0.125,-0.125
portscan,svc_rbf,independent,2049,2000,True,97.725,97.65,-0.075,-0.075
portscan,svc_rbf,own_transformer,2049,2000,True,97.575,97.675,0.1,0.1
portscan,svc_rbf,independent,2050,2000,True,97.4,97.525,0.125,0.125
portscan,svc_rbf,own_transformer,2050,2000,True,97.25,97.55,0.3,0.3
portscan,svc_rbf,independent,2051,2000,False,50.0,97.475,47.475,-47.475
portscan,svc_rbf,own_transformer,2051,2000,False,97.425,97.9,0.475,-0.475
portscan,svc_rbf,independent,2052,2000,False,97.7,97.525,-0.175,0.175
portscan,svc_rbf,own_transformer,2052,2000,False,97.75,97.375,-0.375,0.375
portscan,svc_rbf,independent,2053,2000,False,97.525,97.55,0.025,-0.025
portscan,svc_rbf,own_transformer,2053,2000,False,97.55,97.325,-0.225,0.225
portscan,svc_rbf,independent,2054,2000,False,97.575,97.775,0.2,-0.2
portscan,svc_rbf,own_transformer,2054,2000,False,97.775,97.625,-0.15,0.15
portscan,svc_rbf,independent,2055,2000,False,97.725,97.75,0.025,-0.025
portscan,svc_rbf,own_transformer,2055,2000,False,97.65,97.55,-0.1,0.1
portscan,svc_rbf,independent,2056,2000,False,97.35,97.5,0.15,-0.15
portscan,svc_rbf,own_transformer,2056,2000,False,97.45,97.575,0.125,-0.125
portscan,svc_rbf,independent,2057,2000,True,97.6,97.55,-0.05,-0.05
portscan,svc_rbf,own_transformer,2057,2000,True,97.6,97.575,-0.025,-0.025
portscan,svc_rbf,independent,2058,2000,False,97.725,97.9,0.175,-0.175
portscan,svc_rbf,own_transformer,2058,2000,False,97.65,97.9,0.25,-0.25
portscan,svc_rbf,independent,2059,2000,True,97.825,50.0,-47.825,-47.825
portscan,svc_rbf,own_transformer,2059,2000,True,97.9,97.275,-0.625,-0.625
portscan,svc_rbf,independent,2060,2000,False,97.85,97.825,-0.025,0.025
portscan,svc_rbf,own_transformer,2060,2000,False,97.925,97.85,-0.075,0.075
portscan,svc_rbf,independent,2061,2000,False,97.1,96.675,-0.425,0.425
portscan,svc_rbf,own_transformer,2061,2000,False,97.25,97.45,0.2,-0.2
portscan,svc_rbf,independent,2062,2000,True,50.0,97.7,47.7,47.7
portscan,svc_rbf,own_transformer,2062,2000,True,95.325,97.65,2.325,2.325
portscan,svc_rbf,independent,2063,2000,False,97.9,97.9,-0.0,0.0
portscan,svc_rbf,own_transformer,2063,2000,False,97.925,97.925,0.0,0.0
portscan,svc_rbf,independent,2064,2000,True,97.325,97.35,0.025,0.025
portscan,svc_rbf,own_transformer,2064,2000,True,97.475,97.625,0.15,0.15
portscan,svc_rbf,independent,2065,2000,False,98.075,98.1,0.025,-0.025
portscan,svc_rbf,own_transformer,2065,2000,False,98.025,98.05,0.025,-0.025
portscan,svc_rbf,independent,2066,2000,False,50.0,97.55,47.55,-47.55
portscan,svc_rbf,own_transformer,2066,2000,False,97.125,97.575,0.45,-0.45
portscan,svc_rbf,independent,2067,2000,False,50.225,98.175,47.95,-47.95
portscan,svc_rbf,own_transformer,2067,2000,False,97.95,98.15,0.2,-0.2
portscan,svc_rbf,independent,2068,2000,False,50.0,97.65,47.65,-47.65
portscan,svc_rbf,own_transformer,2068,2000,False,97.1,98.0,0.9,-0.9
portscan,svc_rbf,independent,2069,2000,True,90.075,97.875,7.8,7.8
portscan,svc_rbf,own_transformer,2069,2000,True,97.675,97.65,-0.025,-0.025
portscan,svc_rbf,independent,2070,2000,True,97.75,97.95,0.2,0.2
portscan,svc_rbf,own_transformer,2070,2000,True,98.175,98.05,-0.125,-0.125
portscan,svc_rbf,independent,2071,2000,True,96.55,96.575,0.025,0.025
portscan,svc_rbf,own_transformer,2071,2000,True,97.575,97.75,0.175,0.175
portscan,svc_rbf,independent,2072,2000,False,97.725,97.725,0.0,0.0
portscan,svc_rbf,own_transformer,2072,2000,False,97.625,97.75,0.125,-0.125
portscan,svc_rbf,independent,2073,2000,False,97.4,97.7,0.3,-0.3
portscan,svc_rbf,own_transformer,2073,2000,False,97.6,97.75,0.15,-0.15
portscan,svc_rbf,independent,2074,2000,False,97.75,95.7,-2.05,2.05
portscan,svc_rbf,own_transformer,2074,2000,False,97.825,97.95,0.125,-0.125
portscan,svc_rbf,independent,2075,2000,True,97.55,57.375,-40.175,-40.175
portscan,svc_rbf,own_transformer,2075,2000,True,97.625,97.5,-0.125,-0.125
portscan,svc_rbf,independent,2076,2000,False,97.925,97.85,-0.075,0.075
portscan,svc_rbf,own_transformer,2076,2000,False,97.725,97.9,0.175,-0.175
portscan,svc_rbf,independent,2077,2000,True,97.6,97.525,-0.075,-0.075
portscan,svc_rbf,own_transformer,2077,2000,True,97.65,97.5,-0.15,-0.15
portscan,svc_rbf,independent,2078,2000,True,97.2,50.0,-47.2,-47.2
portscan,svc_rbf,own_transformer,2078,2000,True,97.275,96.675,-0.6,-0.6
portscan,svc_rbf,independent,2079,2000,True,50.0,97.675,47.675,47.675
portscan,svc_rbf,own_transformer,2079,2000,True,97.275,97.625,0.35,0.35
portscan,svc_rbf,independent,2080,2000,False,97.55,97.7,0.15,-0.15
portscan,svc_rbf,own_transformer,2080,2000,False,97.675,97.675,0.0,0.0
