severity,method,policy_setting,threshold_quantile,consecutive_k,post_balanced_accuracy_mean,degradation_area_mean,clean_downstream_adaptation_rate,clean_adaptation_gain_mean,false_alarm_any_rate,trigger_delay_windows_mean
0.1,MMD-RBF,detector_specific_optimized,0.99,2,0.9206901041666666,0.0224479166666666,0.1333333333333333,0.0026692708333333,0.0333333333333333,4.8
0.1,MMD-RBF,global_q0.95_k3,0.95,3,0.919140625,0.0239973958333333,0.0666666666666666,0.0010677083333333,0.0333333333333333,5.666666666666667
0.1,QK-MMD PauliXZ,detector_specific_optimized,0.9,3,0.9191145833333334,0.0240234375,0.1,0.0013802083333333,0.0666666666666666,9.5
0.1,QK-MMD PauliXZ,global_q0.95_k3,0.95,3,0.9187630208333334,0.0243749999999999,0.0666666666666666,0.0010286458333333,0.0666666666666666,8.666666666666666
0.1,QK-MMD ZZ,detector_specific_optimized,0.95,2,0.9204296875,0.0221223958333333,0.2,0.0026953124999999,0.1666666666666666,10.11111111111111
0.1,QK-MMD ZZ,global_q0.95_k3,0.95,3,0.9191145833333334,0.0240234375,0.1,0.0013802083333333,0.0666666666666666,9.5
0.25,MMD-RBF,detector_specific_optimized,0.99,2,0.9014713541666668,0.028359375,0.7666666666666667,0.0403776041666666,0.0,4.208333333333333
0.25,MMD-RBF,global_q0.95_k3,0.95,3,0.9047395833333332,0.0250911458333333,0.8,0.0437109374999999,0.0,3.68
0.25,QK-MMD PauliXZ,detector_specific_optimized,0.9,3,0.889140625,0.0407552083333333,0.4666666666666667,0.0219921874999999,0.1,6.052631578947368
0.25,QK-MMD PauliXZ,global_q0.95_k3,0.95,3,0.8850651041666667,0.0455859375,0.4,0.0212109374999999,0.0333333333333333,4.153846153846154
0.25,QK-MMD ZZ,detector_specific_optimized,0.95,2,0.8970963541666667,0.0327083333333333,0.5,0.0249348958333333,0.2,4.454545454545454
0.25,QK-MMD ZZ,global_q0.95_k3,0.95,3,0.884921875,0.0457291666666666,0.4,0.0210677083333333,0.0333333333333333,4.230769230769231
0.5,MMD-RBF,detector_specific_optimized,0.99,2,0.9010546875,0.0143229166666666,1.0,0.1337630208333333,0.0,1.0
0.5,MMD-RBF,global_q0.95_k3,0.95,3,0.8939973958333333,0.0213802083333333,1.0,0.1267057291666666,0.0,2.0
0.5,QK-MMD PauliXZ,detector_specific_optimized,0.9,3,0.8931901041666667,0.0221875,0.9666666666666668,0.1217578124999999,0.0333333333333333,2.1
0.5,QK-MMD PauliXZ,global_q0.95_k3,0.95,3,0.8929296875,0.0224479166666666,0.9666666666666668,0.1214973958333332,0.0333333333333333,2.1333333333333333
0.5,QK-MMD ZZ,detector_specific_optimized,0.95,2,0.9005729166666666,0.0148046875,0.9,0.1199088541666666,0.1,1.0666666666666669
0.5,QK-MMD ZZ,global_q0.95_k3,0.95,3,0.8926822916666667,0.0226953125,0.9666666666666668,0.1212499999999999,0.0333333333333333,2.1666666666666665
0.75,MMD-RBF,detector_specific_optimized,0.99,2,0.8837109375,0.0237239583333333,0.9666666666666668,0.2022656249999999,0.0333333333333333,1.0
0.75,MMD-RBF,global_q0.95_k3,0.95,3,0.8720963541666666,0.0353385416666666,0.9666666666666668,0.1907942708333333,0.0333333333333333,2.0
0.75,QK-MMD PauliXZ,detector_specific_optimized,0.9,3,0.8720963541666666,0.0353385416666666,0.9666666666666668,0.1908723958333333,0.0333333333333333,2.0
0.75,QK-MMD PauliXZ,global_q0.95_k3,0.95,3,0.8720963541666666,0.0353385416666666,0.9666666666666668,0.1908723958333333,0.0333333333333333,2.0
0.75,QK-MMD ZZ,detector_specific_optimized,0.95,2,0.8837109375,0.0237239583333333,0.9,0.1882942708333332,0.1,1.0
0.75,QK-MMD ZZ,global_q0.95_k3,0.95,3,0.8720963541666666,0.0353385416666666,0.9666666666666668,0.1908723958333333,0.0333333333333333,2.0
1.0,MMD-RBF,detector_specific_optimized,0.99,2,0.8651041666666667,0.0310026041666666,0.8,0.2287760416666666,0.2,1.0
1.0,MMD-RBF,global_q0.95_k3,0.95,3,0.84921875,0.0468880208333333,0.9333333333333332,0.2511197916666666,0.0666666666666666,2.0
1.0,QK-MMD PauliXZ,detector_specific_optimized,0.9,3,0.84921875,0.0468880208333333,0.9666666666666668,0.2596484375,0.0333333333333333,2.0
1.0,QK-MMD PauliXZ,global_q0.95_k3,0.95,3,0.84921875,0.0468880208333333,0.9666666666666668,0.2596484375,0.0333333333333333,2.0
1.0,QK-MMD ZZ,detector_specific_optimized,0.95,2,0.8651041666666667,0.0310026041666666,0.8333333333333334,0.2376041666666666,0.1666666666666666,1.0
1.0,QK-MMD ZZ,global_q0.95_k3,0.95,3,0.84921875,0.0468880208333333,0.9666666666666668,0.2596484375,0.0333333333333333,2.0
