severity,method,threshold_quantile,consecutive_k,n_seeds,post_balanced_accuracy_mean,degradation_area_mean,adaptation_gain_vs_no_adapt_mean,clean_downstream_adaptation_rate,clean_adaptation_gain_mean,triggered_post_rate,false_alarm_any_rate,trigger_delay_windows_mean
0.1,QK-MMD ZZ,0.95,2,30,0.9204296875,0.0221223958333333,0.0031901041666666,0.2,0.0026953124999999,0.3,0.1666666666666666,10.11111111111111
0.25,MMD-RBF,0.99,2,30,0.9014713541666668,0.028359375,0.0397265624999999,0.7666666666666667,0.0403776041666666,0.8,0.0,4.208333333333333
0.5,MMD-RBF,0.99,2,30,0.9010546875,0.0143229166666666,0.1337630208333333,1.0,0.1337630208333333,1.0,0.0,1.0
0.75,MMD-RBF,0.99,2,30,0.8837109375,0.0237239583333333,0.2089843749999999,0.9666666666666668,0.2022656249999999,1.0,0.0333333333333333,1.0
1.0,QK-MMD PauliXZ,0.9,3,30,0.84921875,0.0468880208333333,0.2684114583333333,0.9666666666666668,0.2596484375,1.0,0.0333333333333333,2.0
