regime_id,regime,klass,detector,n_seeds,BA_noadapt,naive_BA,decision_oracle_BA,adapt_help_pts,regret_pts,regret_ci_lo,regret_ci_hi,harm_seed_pct
cicids_portscan,CICIDS PortScan,benefit,jsd,30,0.87708,0.92298,0.92926,4.59,0.629,0.128,1.452,30.0
cicids_portscan,CICIDS PortScan,benefit,qk_mmd_zz,30,0.87708,0.93911,0.9409,6.204,0.179,0.046,0.344,23.3
cicids_portscan,CICIDS PortScan,benefit,qk_mmd_pauli_xz,30,0.87708,0.93077,0.93303,5.369,0.227,0.081,0.399,26.7
cicids_webattacks,CICIDS WebAttacks,benefit,energy_distance,30,0.84263,0.90008,0.91876,5.745,1.868,0.326,3.757,50.0
cicids_webattacks,CICIDS WebAttacks,benefit,mmd_rbf,30,0.84263,0.91245,0.91552,6.983,0.307,0.076,0.604,20.0
cicids_webattacks,CICIDS WebAttacks,benefit,ks_max,30,0.84263,0.90931,0.92259,6.668,1.328,0.358,2.639,46.7
cicids_webattacks,CICIDS WebAttacks,benefit,jsd,30,0.84263,0.90242,0.91727,5.979,1.485,0.379,2.858,36.7
cicids_webattacks,CICIDS WebAttacks,benefit,qk_mmd_zz,30,0.84263,0.91371,0.92212,7.108,0.841,0.274,1.6,46.7
cicids_webattacks,CICIDS WebAttacks,benefit,qk_mmd_pauli_xz,30,0.84263,0.91911,0.92606,7.648,0.695,0.283,1.274,43.3
unsw_dos,UNSW-NB15 DoS,marginal,energy_distance,30,0.83681,0.84629,0.85012,0.948,0.383,0.122,0.709,26.7
unsw_dos,UNSW-NB15 DoS,marginal,mmd_rbf,30,0.83681,0.85001,0.85034,1.32,0.032,0.0,0.076,10.0
unsw_dos,UNSW-NB15 DoS,marginal,ks_max,30,0.83681,0.85134,0.85183,1.453,0.049,0.0,0.131,6.7
unsw_dos,UNSW-NB15 DoS,marginal,jsd,30,0.83681,0.84745,0.84978,1.064,0.233,0.059,0.443,20.0
unsw_dos,UNSW-NB15 DoS,marginal,qk_mmd_zz,30,0.83681,0.849,0.85092,1.219,0.191,0.039,0.388,23.3
unsw_dos,UNSW-NB15 DoS,marginal,qk_mmd_pauli_xz,30,0.83681,0.84792,0.85085,1.111,0.292,0.077,0.573,26.7
unsw_recon,UNSW-NB15 Reconnaissance,marginal,energy_distance,30,0.84393,0.84797,0.84953,0.404,0.156,0.057,0.274,33.3
unsw_recon,UNSW-NB15 Reconnaissance,marginal,mmd_rbf,30,0.84393,0.84758,0.84951,0.366,0.193,0.077,0.336,33.3
unsw_recon,UNSW-NB15 Reconnaissance,marginal,ks_max,30,0.84393,0.84557,0.84817,0.165,0.26,0.111,0.444,43.3
unsw_recon,UNSW-NB15 Reconnaissance,marginal,jsd,30,0.84393,0.84629,0.8488,0.236,0.252,0.098,0.438,33.3
unsw_recon,UNSW-NB15 Reconnaissance,marginal,qk_mmd_zz,30,0.84393,0.84892,0.84972,0.499,0.08,0.021,0.153,26.7
unsw_recon,UNSW-NB15 Reconnaissance,marginal,qk_mmd_pauli_xz,30,0.84393,0.8455,0.84779,0.157,0.23,0.114,0.357,43.3
ton_iot_scanning,ToN-IoT Scanning,harmful,energy_distance,30,0.9225,0.91735,0.92632,-0.516,0.898,0.4,1.481,40.0
ton_iot_scanning,ToN-IoT Scanning,harmful,mmd_rbf,30,0.9225,0.89197,0.92654,-3.053,3.457,1.459,5.724,43.3
ton_iot_scanning,ToN-IoT Scanning,harmful,ks_max,30,0.9225,0.89814,0.9284,-2.436,3.026,1.159,5.116,40.0
ton_iot_scanning,ToN-IoT Scanning,harmful,jsd,30,0.9225,0.87668,0.926,-4.582,4.932,2.772,7.346,56.7
ton_iot_scanning,ToN-IoT Scanning,harmful,qk_mmd_zz,30,0.9225,0.89055,0.92583,-3.196,3.528,1.757,5.542,66.7
ton_iot_scanning,ToN-IoT Scanning,harmful,qk_mmd_pauli_xz,30,0.9225,0.90254,0.92662,-1.997,2.408,1.068,4.099,40.0
