regime,contrast,diff,ci_lo,ci_hi
portscan,tcausal_gate_vs_naive,0.95,0.133,2.024
portscan,tcausal_gate_vs_lp32(oracle),-0.549,-0.865,-0.259
portscan,tcausal_s025_gate_vs_naive,1.067,-0.025,3.106
portscan,sev0_gate_vs_naive,0.226,0.0,0.633
portscan,rand_s0_gate_vs_naive,1.643,0.929,2.578
portscan,rand_s025_gate_vs_naive,0.557,0.051,1.311
portscan,seq64_vs_lp32,0.094,0.023,0.175
unsw_recon,tcausal_gate_vs_naive,0.111,-0.106,0.364
unsw_recon,tcausal_gate_vs_lp32(oracle),-0.372,-0.637,-0.118
unsw_recon,tcausal_s025_gate_vs_naive,0.028,0.009,0.052
unsw_recon,sev0_gate_vs_naive,0.021,0.0,0.064
unsw_recon,rand_s0_gate_vs_naive,0.194,0.096,0.311
unsw_recon,rand_s025_gate_vs_naive,0.244,0.108,0.392
unsw_recon,seq64_vs_lp32,0.026,-0.166,0.226
ton_scanning,tcausal_gate_vs_naive,3.859,1.667,6.733
ton_scanning,tcausal_gate_vs_lp32(oracle),-0.118,-0.449,0.205
ton_scanning,tcausal_s025_gate_vs_naive,0.299,0.002,0.794
ton_scanning,sev0_gate_vs_naive,0.94,0.0,2.821
ton_scanning,rand_s0_gate_vs_naive,4.506,1.851,7.906
ton_scanning,rand_s025_gate_vs_naive,3.833,1.448,6.91
ton_scanning,seq64_vs_lp32,-0.029,-0.301,0.214
